source	map_status	expected_status	actual_status	expected_location	actual_location	query_preserved	nginx_rule_line	result
/page64505705.html	301	301	301	http://82.146.60.212/roblox/?utm_source=test	http://82.146.60.212/roblox/?utm_source=test	yes	82	PASS
/page69116991.html	301	301	301	http://82.146.60.212/among_us/?utm_source=test	http://82.146.60.212/among_us/?utm_source=test	yes	83	PASS
/page71881007.html	301	301	301	http://82.146.60.212/?utm_source=test	http://82.146.60.212/?utm_source=test	yes	84	PASS
/page7266054.html	301	301	301	http://82.146.60.212/?utm_source=test	http://82.146.60.212/?utm_source=test	yes	85	PASS
/page7837595.html	301	301	301	http://82.146.60.212/?utm_source=test	http://82.146.60.212/?utm_source=test	yes	86	PASS
/page87839976.html	301	301	301	http://82.146.60.212/new-year/?utm_source=test	http://82.146.60.212/new-year/?utm_source=test	yes	87	PASS
/pirate-hunter	301	301	301	http://82.146.60.212/pirati/?utm_source=test	http://82.146.60.212/pirati/?utm_source=test	yes	88	PASS
/pirate-kvesttam	301	301	301	http://82.146.60.212/pirati/?utm_source=test	http://82.146.60.212/pirati/?utm_source=test	yes	89	PASS
/pl	301	301	301	http://82.146.60.212/?utm_source=test	http://82.146.60.212/?utm_source=test	yes	90	PASS
/prizrak-hunter	301	301	301	http://82.146.60.212/kvest_v_realnosti_dom_prizrakov/?utm_source=test	http://82.146.60.212/kvest_v_realnosti_dom_prizrakov/?utm_source=test	yes	91	PASS
/prizrak-kvesttam	301	301	301	http://82.146.60.212/kvest_v_realnosti_dom_prizrakov/?utm_source=test	http://82.146.60.212/kvest_v_realnosti_dom_prizrakov/?utm_source=test	yes	92	PASS
/psihbolnica-kvesttam	301	301	301	http://82.146.60.212/kvest_v_realnosti_psihbolnitsa/?utm_source=test	http://82.146.60.212/kvest_v_realnosti_psihbolnitsa/?utm_source=test	yes	93	PASS
/psihbolniza-hunter	301	301	301	http://82.146.60.212/kvest_v_realnosti_psihbolnitsa/?utm_source=test	http://82.146.60.212/kvest_v_realnosti_psihbolnitsa/?utm_source=test	yes	94	PASS
/sherlok-hunter	301	301	301	http://82.146.60.212/kvest_v_realnosti_sherlock_holms/?utm_source=test	http://82.146.60.212/kvest_v_realnosti_sherlock_holms/?utm_source=test	yes	95	PASS
/sherlok-kvesttam	301	301	301	http://82.146.60.212/kvest_v_realnosti_sherlock_holms/?utm_source=test	http://82.146.60.212/kvest_v_realnosti_sherlock_holms/?utm_source=test	yes	96	PASS
/spasibo	301	301	301	http://82.146.60.212/?utm_source=test	http://82.146.60.212/?utm_source=test	yes	97	PASS
/sv	301	301	301	http://82.146.60.212/?utm_source=test	http://82.146.60.212/?utm_source=test	yes	98	PASS
/wednesday_ukradennaya_vesch	301 + fallback	301	301	http://82.146.60.212/wednesday-poteryannaya-dusha/?utm_source=test	http://82.146.60.212/wednesday-poteryannaya-dusha/?utm_source=test	yes	99	PASS
/zamok-hunter	301	301	301	http://82.146.60.212/kvest_v_realnosti_zamok_drakuly/?utm_source=test	http://82.146.60.212/kvest_v_realnosti_zamok_drakuly/?utm_source=test	yes	100	PASS
