slug,type,h1,venue_slugs,venue_addresses,declared_venue_slugs,mentioned_venue_slugs,age,players,duration,catalog_category,venue_groups,theme,difficulty,has_video,video_count,photo_count,content_description_chars,story_description_chars,seo_title,seo_description,seo_description_chars,explicit_price_mentions,internal_reference_source_count,referenced_by,last_modified,source_file
guardeskypereulog61,venue,Че За Квест на Гвардейском 61,guardeskypereulog61,"Гвардейский пер., 61",guardeskypereulog61,guardeskypereulog61,,,,,,,,false,0,15,917,0,Чё За Квест Гвардейский переулок 61 в Ростове-на-Дону,Квесты в Ростове-на-Дону на перулке Гвардейский 61 от компании Че За Квест. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,147,,14,src/data/pages/amongus-land.json | src/data/pages/den-rozhdeniya-na-vr-arene.json | src/data/pages/den-rozhdeniya-uznik-azkabana.json | src/data/pages/igra-v-kalmara-lend.json | src/data/pages/kids.json | src/data/pages/minecraft-lend.json | src/data/pages/new-year.json | src/data/pages/prazdnik-maxi.json | src/data/pages/prazdniki-pod-kluch.json | src/data/pages/roblox-land.json | src/data/pages/strashnye-kvesty.json | src/data/pages/vypusknoj-kalmar.json | src/data/site.json | src/data/venues.json,2026-08-11,src/data/pages/guardeskypereulog61.json
hostel-podval-pytok,quest,Квест Хостел. Подвал пыток,nansena107,"ул. Нансена, 107/1",nansena107,nansena107,12+,2-10,90 мин.,Страшные квесты в Ростове,КВЕСТЫ,dark,,false,0,19,689,419,Хостел. Подвал пыток - хоррор-квест в Ростове-на-Дону,Страшный квест- Хостел. Подвал пыток в Ростове-на-Дону от компании Чё за Квест. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,151,,15,src/data/pages/brawl_stars.json | src/data/pages/kvest_v_realnosti_dom_prizrakov.json | src/data/pages/kvest_v_realnosti_fantom.json | src/data/pages/kvest_v_realnosti_koralina.json | src/data/pages/kvest_v_realnosti_psihbolnitsa.json | src/data/pages/kvest_v_realnosti_zamok_drakuly.json | src/data/pages/nansena107.json | src/data/pages/ono.json | src/data/pages/patologiya.json | src/data/pages/shizofreniya.json | src/data/pages/strashnye-kvesty.json | src/data/pages/tekhasskaya-reznya-benzopiloj.json | src/data/pages/zvonok.json | src/data/site.json | src/data/venues.json,2026-08-11,src/data/pages/hostel-podval-pytok.json
igra_v_kalmara,quest,Квест Игра в Кальмара,40letpobedy216,"ул. 40-летия Победы, 216",40letpobedy216,magnitogorskaya1 | 40letpobedy216,9+,2-24,60 мин.,Квест-шоу на площадке 200м²,АКТИВНЫЕ ИГРЫ,,4,true,1,42,2461,520,Квест для детей Игра в Кальмара в Ростове-на-Дону,Квест Игра в Кальмара от компании Чё за Квест в Ростове-на-Дону. Работем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,135,,19,src/data/pages/40letpobedy216.json | src/data/pages/among_us.json | src/data/pages/beguschij_v_labirinte.json | src/data/pages/fnaf.json | src/data/pages/garri-potter-i-kubok-ognya.json | src/data/pages/magnitogorskaya1.json | src/data/pages/minecraft.json | src/data/pages/prazdnik-maxi.json | src/data/pages/prazdniki-pod-kluch.json | src/data/pages/pryatki_kids.json | src/data/pages/pryatki_portal.json | src/data/pages/pryatki_v_temnote.json | src/data/pages/roblox-dors.json | src/data/pages/roblox.json | src/data/pages/strashnye-kvesty.json | src/data/pages/wednesday-poteryannaya-dusha.json | src/data/pages/wednesday_ukradennaya_vesch.json | src/data/site.json | src/data/venues.json,2026-09-04,src/data/pages/igra_v_kalmara.json
igra-v-kalmara-lend,holiday,Детские праздники и дни рождения в стиле сериала «Игра в Кальмара» в Ростове-на-Дону,magnitogorskaya1 | 40letpobedy216,"ул. Магнитогорская, 1 | ул. 40-летия Победы, 216",,magnitogorskaya1 | 40letpobedy216,9+,2–24 участника,60 минут квеста,,,squid,,false,0,53,767,0,"Детский день рождения в стиле сериала ""Игра в кальмара"" в Ростове-на-Дону | Скидки и Акции","День рождения под ключ в Ростове-на-Дону. Квест ""Игра в кальмара"" на детский праздник.",86,,24,src/data/pages/among_us.json | src/data/pages/beguschij_v_labirinte.json | src/data/pages/den-rozhdeniya-uznik-azkabana.json | src/data/pages/fnaf.json | src/data/pages/garri-potter-i-kubok-ognya.json | src/data/pages/igra_v_kalmara.json | src/data/pages/kids.json | src/data/pages/minecraft.json | src/data/pages/new-year.json | src/data/pages/ono.json | src/data/pages/party-games.json | src/data/pages/portal-strike-kids.json | src/data/pages/portal-strike.json | src/data/pages/portal-zombie.json | src/data/pages/pryatki_kids.json | src/data/pages/pryatki_portal.json | src/data/pages/pryatki_v_temnote.json | src/data/pages/roblox-dors.json | src/data/pages/roblox.json | src/data/pages/tekhasskaya-reznya-benzopiloj.json | src/data/pages/wednesday-poteryannaya-dusha.json | src/data/pages/wednesday_ukradennaya_vesch.json | src/data/pages/zvonok.json | src/data/site.json,2026-08-15,src/data/pages/igra-v-kalmara-lend.json
indiana,quest,Индиана Джонс,nagibina14,"пр-т Нагибина, 14а",nagibina14,nagibina14,7+,2-7,60 мин.,Квесты в Ростове,КВЕСТЫ,,,false,0,18,729,437,Индиана Джонс - весёлый квест от компании «Чё За Квест»,Весёлый квест Индиана Джонс в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте. Компания Чё за Квест.,140,,8,src/data/pages/mystery_shack.json | src/data/pages/nagibina14.json | src/data/pages/pirati.json | src/data/pages/pobeg.json | src/data/pages/puteshestvie.json | src/data/pages/ugon.json | src/data/site.json | src/data/venues.json,2026-08-11,src/data/pages/indiana.json
kids,holiday,Подарите ребёнку приключение в квесте,magnitogorskaya1 | 40letpobedy216,"ул. Магнитогорская, 1 | ул. 40-летия Победы, 216",,magnitogorskaya1 | 40letpobedy216,,,,,,,,false,0,41,1142,0,"День рождения для ребенка в Ростове-на-Дону, цены, программы","День рождения — это особенный момент в жизни каждого человека. Провести его незабываемо и с комфортом можно в студии праздников, где все внимание уделяется только вам и вашим близким. Мы предлагаем полный комплекс услуг «под ключ», который сделает ваш праздник волшебным.",271,,11,src/data/pages/amongus-land.json | src/data/pages/den-rozhdeniya-na-vr-arene.json | src/data/pages/den-rozhdeniya-uznik-azkabana.json | src/data/pages/igra-v-kalmara-lend.json | src/data/pages/minecraft-lend.json | src/data/pages/new-year.json | src/data/pages/prazdnik-maxi.json | src/data/pages/prazdniki-pod-kluch.json | src/data/pages/roblox-land.json | src/data/pages/vypusknoj-kalmar.json | src/data/site.json,2026-08-12,src/data/pages/kids.json
krasnormerskaya103,venue,Че За Квест на Красноармейской 103,krasnormerskaya103,"ул. Красноармейская, 103",krasnormerskaya103,krasnormerskaya103,,,,,,,,false,0,18,668,0,Че За Квест на Красноармейской 103 в Ростове-на-Дону,Квесты в Ростове-на-Дону на проспекте Красноармейской 103 от компании Че За Квест. Работем без выходных с 10:00 до 01:00. Записывайтесь на игру на сайте.,153,,14,src/data/pages/amongus-land.json | src/data/pages/den-rozhdeniya-na-vr-arene.json | src/data/pages/den-rozhdeniya-uznik-azkabana.json | src/data/pages/igra-v-kalmara-lend.json | src/data/pages/kids.json | src/data/pages/minecraft-lend.json | src/data/pages/new-year.json | src/data/pages/prazdnik-maxi.json | src/data/pages/prazdniki-pod-kluch.json | src/data/pages/roblox-land.json | src/data/pages/strashnye-kvesty.json | src/data/pages/vypusknoj-kalmar.json | src/data/site.json | src/data/venues.json,2026-08-11,src/data/pages/krasnormerskaya103.json
kvest_v_realnosti_dom_prizrakov,quest,Квест Дом призраков,sokolova23,"пр-т Соколова, 23",sokolova23,sokolova23,18+,2-10,60 мин.,Квесты в Ростове,КВЕСТЫ,,,false,0,21,1014,489,Квест Дом Призраков в Ростове-на-Дону,"Страшный квест, полный загадок - хоррор Дом Призраков от компании Чё за Квест в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.",168,,16,src/data/pages/brawl_stars.json | src/data/pages/hostel-podval-pytok.json | src/data/pages/kvest_v_realnosti_fantom.json | src/data/pages/kvest_v_realnosti_koralina.json | src/data/pages/kvest_v_realnosti_psihbolnitsa.json | src/data/pages/kvest_v_realnosti_zamok_drakuly.json | src/data/pages/ono.json | src/data/pages/patologiya.json | src/data/pages/prazdniki-pod-kluch.json | src/data/pages/shizofreniya.json | src/data/pages/sokolova23.json | src/data/pages/strashnye-kvesty.json | src/data/pages/tekhasskaya-reznya-benzopiloj.json | src/data/pages/zvonok.json | src/data/site.json | src/data/venues.json,2026-09-04,src/data/pages/kvest_v_realnosti_dom_prizrakov.json
kvest_v_realnosti_fantom,quest,Квест Фантом,krasnormerskaya103,"ул. Красноармейская, 103",krasnormerskaya103,krasnormerskaya103,6+,2-8,90 мин.,,,,,false,0,20,1515,979,Фантом - квест с закрытыми глазами от Чё За Квест,"Фантом - это квест, в котором мы не будем ставить на вас опыты, обещаем - компания Чё За Квест в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.",185,,1,src/data/pages/prazdniki-pod-kluch.json,2026-08-11,src/data/pages/kvest_v_realnosti_fantom.json
kvest_v_realnosti_garri_potter_,quest,Квест Гарри Поттер и чулан для мётел,socialicheskaya186,"ул. Социалистическая, 186",socialicheskaya186,socialicheskaya186,6+,2−6,20 мин.,,,,,false,0,15,1615,1123,Квест для детей Гарри и Чулан для мётел в Ростове-на-Дону,Квест Гарри и Чулан для Мётел от компании Чё за Квест в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,144,,1,src/data/pages/prazdniki-pod-kluch.json,2026-08-10,src/data/pages/kvest_v_realnosti_garri_potter_.json
kvest_v_realnosti_harry_potter_i_krestrazh,quest,Квест Гарри Поттер и Последний Крестраж,sokolova23,"пр-т Соколова, 23",sokolova23,sokolova23,8+,2-10,60 мин.,Квесты в Ростове,КВЕСТЫ,,,false,0,17,864,354,Гарри и последний крестраж - квест для поклонников Хогвартс от «Чё За Квест»,Школа магии Хогвартс просит о помощи - нужно найти последний Крестраж в Ростове-на-Дону от компании Чё за Квест. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,184,,10,src/data/pages/brawl_stars.json | src/data/pages/kvest_v_realnosti_garri_potter_.json | src/data/pages/kvest_v_realnosti_noch_v_museum_ograblenie.json | src/data/pages/kvest_v_realnosti_ograblenie_banka_bumazhniy_dom.json | src/data/pages/kvest_v_realnosti_sherlock_holms.json | src/data/pages/kvest_v_realnosti_wednesday.json | src/data/pages/prazdniki-pod-kluch.json | src/data/pages/sokolova23.json | src/data/site.json | src/data/venues.json,2026-09-04,src/data/pages/kvest_v_realnosti_harry_potter_i_krestrazh.json
kvest_v_realnosti_koralina,quest,Квест Коралина в Стране Кошмаров,krasnormerskaya103,"ул. Красноармейская, 103",krasnormerskaya103,krasnormerskaya103,12+,2-10,60 мин.,Квесты в Ростове,КВЕСТЫ,,,false,0,24,1036,541,Коралина в Стране Кошмаров- Квест в Ростове-на-Дону,Квест-перфоманс Коралина в Стране Кошмаров от компании Чё за Квест в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,157,,16,src/data/pages/brawl_stars.json | src/data/pages/hostel-podval-pytok.json | src/data/pages/krasnormerskaya103.json | src/data/pages/kvest_v_realnosti_dom_prizrakov.json | src/data/pages/kvest_v_realnosti_fantom.json | src/data/pages/kvest_v_realnosti_psihbolnitsa.json | src/data/pages/kvest_v_realnosti_zamok_drakuly.json | src/data/pages/ono.json | src/data/pages/patologiya.json | src/data/pages/prazdniki-pod-kluch.json | src/data/pages/shizofreniya.json | src/data/pages/strashnye-kvesty.json | src/data/pages/tekhasskaya-reznya-benzopiloj.json | src/data/pages/zvonok.json | src/data/site.json | src/data/venues.json,2026-09-04,src/data/pages/kvest_v_realnosti_koralina.json
kvest_v_realnosti_noch_v_museum_ograblenie,quest,Квест Ночь в музее. Ограбление,sokolova23,"пр-т Соколова, 23",sokolova23,sokolova23,8+,2-10,60 мин.,Квесты в Ростове,КВЕСТЫ,,,false,0,18,761,252,Ночь в музее. Ограбление - квест от компании «Чё За Квест»,Приключенческий квест Ночь в музее. Ограбление - компания Чё за Квест в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,160,,10,src/data/pages/brawl_stars.json | src/data/pages/kvest_v_realnosti_garri_potter_.json | src/data/pages/kvest_v_realnosti_harry_potter_i_krestrazh.json | src/data/pages/kvest_v_realnosti_ograblenie_banka_bumazhniy_dom.json | src/data/pages/kvest_v_realnosti_sherlock_holms.json | src/data/pages/kvest_v_realnosti_wednesday.json | src/data/pages/prazdniki-pod-kluch.json | src/data/pages/sokolova23.json | src/data/site.json | src/data/venues.json,2026-09-04,src/data/pages/kvest_v_realnosti_noch_v_museum_ograblenie.json
kvest_v_realnosti_ograblenie_banka_bumazhniy_dom,quest,Квест Ограбление банка. Бумажный дом,socialicheskaya186,"ул. Социалистическая, 186",socialicheskaya186,socialicheskaya186,6+,2-10,60 мин.,Квесты в Ростове,КВЕСТЫ,,,false,0,18,1075,466,Ограбление банка. Бумажный дом - весёлый квест от компании «Чё За Квест»,Весёлый квест Ограбление банка в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте. Компания Чё за Квест.,143,,10,src/data/pages/brawl_stars.json | src/data/pages/kvest_v_realnosti_garri_potter_.json | src/data/pages/kvest_v_realnosti_harry_potter_i_krestrazh.json | src/data/pages/kvest_v_realnosti_noch_v_museum_ograblenie.json | src/data/pages/kvest_v_realnosti_sherlock_holms.json | src/data/pages/kvest_v_realnosti_wednesday.json | src/data/pages/prazdniki-pod-kluch.json | src/data/pages/socialicheskaya186.json | src/data/site.json | src/data/venues.json,2026-09-04,src/data/pages/kvest_v_realnosti_ograblenie_banka_bumazhniy_dom.json
kvest_v_realnosti_psihbolnitsa,quest,Квест Психбольница,guardeskypereulog61,"Гвардейский пер., 61",guardeskypereulog61,guardeskypereulog61,12+,2-10,60 мин.,Квесты в Ростове,КВЕСТЫ,,3,true,1,22,989,272,Хоррор квест Психбольница в Ростове-на-Дону,Страшный квест Психбольница с элементами пряток от компании Чё за Квест в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,162,,16,src/data/pages/brawl_stars.json | src/data/pages/guardeskypereulog61.json | src/data/pages/hostel-podval-pytok.json | src/data/pages/kvest_v_realnosti_dom_prizrakov.json | src/data/pages/kvest_v_realnosti_fantom.json | src/data/pages/kvest_v_realnosti_koralina.json | src/data/pages/kvest_v_realnosti_zamok_drakuly.json | src/data/pages/ono.json | src/data/pages/patologiya.json | src/data/pages/prazdniki-pod-kluch.json | src/data/pages/shizofreniya.json | src/data/pages/strashnye-kvesty.json | src/data/pages/tekhasskaya-reznya-benzopiloj.json | src/data/pages/zvonok.json | src/data/site.json | src/data/venues.json,2026-09-04,src/data/pages/kvest_v_realnosti_psihbolnitsa.json
kvest_v_realnosti_sherlock_holms,quest,Квест Шерлок холмс,guardeskypereulog61,"Гвардейский пер., 61",guardeskypereulog61,guardeskypereulog61,12+,2-10,60 мин.,Квесты в Ростове,КВЕСТЫ,,5,true,1,16,1150,636,Ты детектив? Приходи на квест Шерлок Холмс в Ростове-на-Дону,Шерлок Холмс - квест-расследование в Ростове-на-Дону от компании Чё за Квест. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,149,,10,src/data/pages/brawl_stars.json | src/data/pages/guardeskypereulog61.json | src/data/pages/kvest_v_realnosti_garri_potter_.json | src/data/pages/kvest_v_realnosti_harry_potter_i_krestrazh.json | src/data/pages/kvest_v_realnosti_noch_v_museum_ograblenie.json | src/data/pages/kvest_v_realnosti_ograblenie_banka_bumazhniy_dom.json | src/data/pages/kvest_v_realnosti_wednesday.json | src/data/pages/prazdniki-pod-kluch.json | src/data/site.json | src/data/venues.json,2026-09-04,src/data/pages/kvest_v_realnosti_sherlock_holms.json
kvest_v_realnosti_wednesday,quest,Квест Уэнсдей. Новая битва,krasnormerskaya103,"ул. Красноармейская, 103",krasnormerskaya103,krasnormerskaya103,9+,2-10,60 мин.,Квесты в Ростове,КВЕСТЫ,,,false,0,15,835,342,Уэнсдей - квест в Ростове-на-Дону,Приключенческий квест Уэнсдей от компании Чё За Квест в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,144,,11,src/data/pages/brawl_stars.json | src/data/pages/krasnormerskaya103.json | src/data/pages/kvest_v_realnosti_garri_potter_.json | src/data/pages/kvest_v_realnosti_harry_potter_i_krestrazh.json | src/data/pages/kvest_v_realnosti_noch_v_museum_ograblenie.json | src/data/pages/kvest_v_realnosti_ograblenie_banka_bumazhniy_dom.json | src/data/pages/kvest_v_realnosti_sherlock_holms.json | src/data/pages/prazdniki-pod-kluch.json | src/data/pages/strashnye-kvesty.json | src/data/site.json | src/data/venues.json,2026-08-10,src/data/pages/kvest_v_realnosti_wednesday.json
kvest_v_realnosti_zamok_drakuly,quest,Квест Замок Графа Дракулы,krasnormerskaya103,"ул. Красноармейская, 103",krasnormerskaya103,krasnormerskaya103,10+,2-10,60 мин.,Квесты в Ростове,КВЕСТЫ,,,false,0,22,884,228,Квест «Замок Графа Дракулы» - от «Чё За Квест»,Квест Замок Дракулы от компании Чё За Квест в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,134,,15,src/data/pages/hostel-podval-pytok.json | src/data/pages/krasnormerskaya103.json | src/data/pages/kvest_v_realnosti_dom_prizrakov.json | src/data/pages/kvest_v_realnosti_fantom.json | src/data/pages/kvest_v_realnosti_koralina.json | src/data/pages/kvest_v_realnosti_psihbolnitsa.json | src/data/pages/ono.json | src/data/pages/patologiya.json | src/data/pages/prazdniki-pod-kluch.json | src/data/pages/shizofreniya.json | src/data/pages/strashnye-kvesty.json | src/data/pages/tekhasskaya-reznya-benzopiloj.json | src/data/pages/zvonok.json | src/data/site.json | src/data/venues.json,2026-09-04,src/data/pages/kvest_v_realnosti_zamok_drakuly.json
kvest_v_realnosti_zapad,quest,Квест Дикий Запад,guardeskypereulog61,"Гвардейский пер., 61",guardeskypereulog61,guardeskypereulog61,12+,6-12,90 мин,,,,,false,0,7,1070,0,Дикий Запад - квест в Ростове-на-Дону,Квест в Дикий Запад от компании Чё За Квест в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,134,"Зал ожидания: Есть гостевая зона, есть зона для проведения праздника (от 1000 руб./час), рассчитана на 15 человек | от 5000 ₽",1,src/data/pages/prazdniki-pod-kluch.json,2026-08-12,src/data/pages/kvest_v_realnosti_zapad.json
magnitogorskaya1,venue,Че За Квест на Магнитогорской 1,magnitogorskaya1,"ул. Магнитогорская, 1",magnitogorskaya1,magnitogorskaya1,,,,,,,,false,0,22,602,0,Че За Квест на Магнитогорской 1 в Ростове-на-Дону,Квесты в Ростове-на-Дону на улице Магнитогорской 1 от компании Че За Квест. Работаем без выходных с 10:00 до 01:00 Записывайтесь на игру на сайте.,146,,14,src/data/pages/amongus-land.json | src/data/pages/den-rozhdeniya-na-vr-arene.json | src/data/pages/den-rozhdeniya-uznik-azkabana.json | src/data/pages/igra-v-kalmara-lend.json | src/data/pages/kids.json | src/data/pages/minecraft-lend.json | src/data/pages/new-year.json | src/data/pages/prazdnik-maxi.json | src/data/pages/prazdniki-pod-kluch.json | src/data/pages/roblox-land.json | src/data/pages/strashnye-kvesty.json | src/data/pages/vypusknoj-kalmar.json | src/data/site.json | src/data/venues.json,2026-09-04,src/data/pages/magnitogorskaya1.json
minecraft-lend,holiday,Незабываемый праздник в настоящем квесте с любимыми героями,,,,,6+,2–24 участника,60 минут квеста,,,minecraft,,false,0,43,812,0,"Детский день рождения в стиле ""Майнкрафт"" в Ростове-на-Дону | Скидки и Акции",День рождения под ключ в Ростове-на-Дону. Шоу Майнкрафт на детский праздник.,76,,24,src/data/pages/among_us.json | src/data/pages/beguschij_v_labirinte.json | src/data/pages/den-rozhdeniya-uznik-azkabana.json | src/data/pages/fnaf.json | src/data/pages/garri-potter-i-kubok-ognya.json | src/data/pages/igra_v_kalmara.json | src/data/pages/kids.json | src/data/pages/minecraft.json | src/data/pages/new-year.json | src/data/pages/ono.json | src/data/pages/party-games.json | src/data/pages/portal-strike-kids.json | src/data/pages/portal-strike.json | src/data/pages/portal-zombie.json | src/data/pages/pryatki_kids.json | src/data/pages/pryatki_portal.json | src/data/pages/pryatki_v_temnote.json | src/data/pages/roblox-dors.json | src/data/pages/roblox.json | src/data/pages/tekhasskaya-reznya-benzopiloj.json | src/data/pages/wednesday-poteryannaya-dusha.json | src/data/pages/wednesday_ukradennaya_vesch.json | src/data/pages/zvonok.json | src/data/site.json,2026-08-12,src/data/pages/minecraft-lend.json
minecraft,quest,Квест Майнкрафт,40letpobedy216,"ул. 40-летия Победы, 216",40letpobedy216,magnitogorskaya1 | 40letpobedy216,6+,2-24,60 мин.,Квест-шоу на площадке 200м²,АКТИВНЫЕ ИГРЫ,,,false,0,36,1114,206,Квест в стиле Майнкрафт в Ростове-на-Дону,День рождения под ключ в Ростове-на-Дону. Шоу Майнкрафт на детский праздник. Работаем без выходных с 10:00 до 23:00. Бронируйте на сайте.,137,,19,src/data/pages/40letpobedy216.json | src/data/pages/among_us.json | src/data/pages/beguschij_v_labirinte.json | src/data/pages/fnaf.json | src/data/pages/garri-potter-i-kubok-ognya.json | src/data/pages/igra_v_kalmara.json | src/data/pages/magnitogorskaya1.json | src/data/pages/prazdnik-maxi.json | src/data/pages/prazdniki-pod-kluch.json | src/data/pages/pryatki_kids.json | src/data/pages/pryatki_portal.json | src/data/pages/pryatki_v_temnote.json | src/data/pages/roblox-dors.json | src/data/pages/roblox.json | src/data/pages/vypusknoj-kalmar.json | src/data/pages/wednesday-poteryannaya-dusha.json | src/data/pages/wednesday_ukradennaya_vesch.json | src/data/site.json | src/data/venues.json,2026-09-04,src/data/pages/minecraft.json
mira27,venue,Че За Квест на проспекте Мира 27,mira27,"пр-т Мира, д. 27",mira27,mira27,,,,,,,,false,0,8,111,0,Че За Квест на Мира 27 в Ростове-на-Дону,Квесты в Ростове-на-Дону на улице Мира 27 от компании Че За Квест. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,138,,12,src/data/pages/amongus-land.json | src/data/pages/den-rozhdeniya-na-vr-arene.json | src/data/pages/den-rozhdeniya-uznik-azkabana.json | src/data/pages/igra-v-kalmara-lend.json | src/data/pages/kids.json | src/data/pages/minecraft-lend.json | src/data/pages/prazdnik-maxi.json | src/data/pages/roblox-land.json | src/data/pages/strashnye-kvesty.json | src/data/pages/vypusknoj-kalmar.json | src/data/site.json | src/data/venues.json,2026-08-11,src/data/pages/mira27.json
mystery_shack,quest,Хижина Чудес,nagibina14,"пр-т Нагибина, 14а",nagibina14,nagibina14,7+,2-8,60 мин.,Квесты в Ростове,КВЕСТЫ,,,false,0,20,577,229,Хижина Чудес - весёлый квест от компании «Чё За Квест»,Весёлый квест Хижина Чудес в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте. Компания Чё за Квест.,139,,8,src/data/pages/indiana.json | src/data/pages/nagibina14.json | src/data/pages/pirati.json | src/data/pages/pobeg.json | src/data/pages/puteshestvie.json | src/data/pages/ugon.json | src/data/site.json | src/data/venues.json,2026-09-04,src/data/pages/mystery_shack.json
nagibina14,venue,Че За Квест на проспекте Михаила Нагибина 14а,nagibina14,"пр-т Нагибина, 14а",nagibina14,nagibina14,,,,,,,,false,0,20,773,0,Че За Квест на Нагибина 14а в Ростове-на-Дону,Квесты в Ростове-на-Дону на проспекте Михаила Нагибина 14а от компании Че За Квест. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,155,,12,src/data/pages/amongus-land.json | src/data/pages/den-rozhdeniya-na-vr-arene.json | src/data/pages/den-rozhdeniya-uznik-azkabana.json | src/data/pages/igra-v-kalmara-lend.json | src/data/pages/kids.json | src/data/pages/minecraft-lend.json | src/data/pages/prazdnik-maxi.json | src/data/pages/roblox-land.json | src/data/pages/strashnye-kvesty.json | src/data/pages/vypusknoj-kalmar.json | src/data/site.json | src/data/venues.json,2026-08-10,src/data/pages/nagibina14.json
nansena107,venue,Че За Квест на Нансена 107/1,nansena107,"ул. Нансена, 107/1",nansena107,nansena107,,,,,,,,false,0,6,135,0,Че За Квест на Нансена 107/1 в Ростове-на-Дону,Квесты в Ростове-на-Дону на улице Нансена 107/1 от компании Че За Квест. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,144,,12,src/data/pages/amongus-land.json | src/data/pages/den-rozhdeniya-na-vr-arene.json | src/data/pages/den-rozhdeniya-uznik-azkabana.json | src/data/pages/igra-v-kalmara-lend.json | src/data/pages/kids.json | src/data/pages/minecraft-lend.json | src/data/pages/prazdnik-maxi.json | src/data/pages/roblox-land.json | src/data/pages/strashnye-kvesty.json | src/data/pages/vypusknoj-kalmar.json | src/data/site.json | src/data/venues.json,2026-08-11,src/data/pages/nansena107.json
new-year,holiday,Новогодний праздник для школьников,magnitogorskaya1 | 40letpobedy216,"ул. Магнитогорская, 1 | ул. 40-летия Победы, 216",,magnitogorskaya1 | 40letpobedy216,6–17 лет,Для групп 10–25 детей,,,,,,false,0,52,1360,0,"Новый год в Чё За Квест в Ростове-на-Дону, цены, программы","Новогодний праздник для школьников 6–17 лет в Ростове-на-Дону: программа под ключ с квестами, шоу и мастер-классами для групп от 10 до 25 детей.",144,,2,src/data/pages/den-rozhdeniya-uznik-azkabana.json | src/data/site.json,2026-09-03,src/data/pages/new-year.json
ono,quest,Квест ОНО,40letpobedy216,"ул. 40-летия Победы, 216",40letpobedy216,magnitogorskaya1 | 40letpobedy216,12+,2-24,60 мин.,Прятки в лабиринте 200м²,ПРЯТКИ,,,true,1,33,2661,912,Хоррор квест ОНО в Ростове-на-Дону,"Квест ОНО - хоррор от компании Чё За Квест в Ростове-на-Дону. Думаете, что попали в цирк ? Наш клоун докажет обратное . Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.",191,,17,src/data/pages/40letpobedy216.json | src/data/pages/brawl_stars.json | src/data/pages/hostel-podval-pytok.json | src/data/pages/kvest_v_realnosti_dom_prizrakov.json | src/data/pages/kvest_v_realnosti_fantom.json | src/data/pages/kvest_v_realnosti_koralina.json | src/data/pages/kvest_v_realnosti_psihbolnitsa.json | src/data/pages/kvest_v_realnosti_zamok_drakuly.json | src/data/pages/magnitogorskaya1.json | src/data/pages/patologiya.json | src/data/pages/prazdniki-pod-kluch.json | src/data/pages/shizofreniya.json | src/data/pages/strashnye-kvesty.json | src/data/pages/tekhasskaya-reznya-benzopiloj.json | src/data/pages/zvonok.json | src/data/site.json | src/data/venues.json,2026-09-04,src/data/pages/ono.json
party-games,quest,PARTY GAMES,40letpobedy216,"ул. 40-летия Победы, 216",40letpobedy216,40letpobedy216,6+,4-12,60 мин.,VR-игры на арене 300м²,VR АРЕНА 200 кв.м,,,false,0,26,1010,208,VR-игра PARTY GAMES,"Коллекция казуальных игр, разработанных специально для детей от 6 лет. Пять мини-игр с уникальной и в то же время простой механикой, тщательно проработанными картами и захватывающим и разнообразным геймплеем.",208,,9,src/data/pages/40letpobedy216.json | src/data/pages/den-rozhdeniya-na-vr-arene.json | src/data/pages/den-rozhdeniya-uznik-azkabana.json | src/data/pages/portal-strike-kids.json | src/data/pages/portal-strike.json | src/data/pages/portal-zombie.json | src/data/pages/vypusknoj-kalmar.json | src/data/site.json | src/data/venues.json,2026-09-04,src/data/pages/party-games.json
