url,sections_orig,sections_clone,missing_sections,missing_texts,missing_images,px_1440,px_390,h_orig_1440,h_clone_1440,h_orig_390,h_clone_390,overflow_390,console_errors,external_requests,failed_requests,verdict,fixed,broken_links,missing_img_dimensions,first_screen_lazy,seo_match,headings_match,height_delta_1440,height_delta_390,visual_scope,round,notes
/new-year/,34/34,34/34,extra:section.newyear-artboard__help | extra:организация мероприятий,безлимитный чай кофе для вас | как узнать стоимость и забронировать дату для нашего класса | какой возраст детей подходит | можно ли принести свои угощения и торт | сколько длится праздник | я даю согласие на обработку моих персональных данных в соответствии с политикой обработки персональных данных | +1,,75.29,70.13,9123,9123,11560,11560,0,0,0,0,needs_fix,,,0,0,true,true,0,0,page,31,"metric masks: map, reviews; unmapped source asset ids (not missing proof): tild3262-6437-4163-a664-323535303334 | tild3036-3666-4734-b263-613930383463"
/ono/,27/27,12/12,,,,71.875,65.97500000000001,6790,6354,8661,8464,0,0,0,0,needs_fix,,,0,0,true,true,6.42,2.27,page,31,"metric masks: booking, map; unmapped source asset ids (not missing proof): tild6433-3235-4138-a430-663237386235 | tild3439-6362-4561-a465-303634663163"
/party-games/,25/25,12/12,,,,73.185,60.96,6317,6374,8016,8111,0,0,0,0,needs_fix,,,0,0,true,true,0.9,1.19,page,31,"metric masks: booking, map; unmapped source asset ids (not missing proof): tild6433-3235-4138-a430-663237386235 | tild3439-6362-4561-a465-303634663163"
/patologiya/,15/15,9/9,,,,65.44,66.03,3758,3776,5245,5127,0,0,0,0,needs_fix,,,0,0,true,true,0.48,2.25,page,31,"metric masks: booking, map"
/pirati/,24/24,12/12,,,,71.85499999999999,63.035,6167,5475,6770,6458,0,0,0,0,needs_fix,,,0,0,true,true,11.22,4.61,page,31,"metric masks: booking, map; unmapped source asset ids (not missing proof): tild6433-3235-4138-a430-663237386235 | tild3439-6362-4561-a465-303634663163"
/pobeg/,23/23,12/12,,,,68.77,63.195,6395,5983,7206,6775,0,0,0,0,needs_fix,,,0,0,true,true,6.44,5.98,page,31,"metric masks: booking, map; unmapped source asset ids (not missing proof): tild6433-3235-4138-a430-663237386235 | tild3439-6362-4561-a465-303634663163 | tild3466-6130-4564-a365-643635333331"
/portal-strike-kids/,25/25,12/12,,,,73.275,60.425,6430,6487,8181,8276,0,0,0,0,needs_fix,,,0,0,true,true,0.89,1.16,page,31,"metric masks: booking, map; unmapped source asset ids (not missing proof): tild6433-3235-4138-a430-663237386235 | tild3439-6362-4561-a465-303634663163"
/portal-strike/,24/24,12/12,,,,75.225,60.93,6306,6364,8010,8067,0,0,0,0,needs_fix,,,0,0,true,true,0.92,0.71,page,31,"metric masks: booking, map; unmapped source asset ids (not missing proof): tild6433-3235-4138-a430-663237386235 | tild3439-6362-4561-a465-303634663163"
/portal-zombie/,25/25,12/12,,,,73.435,60.545,6393,6450,8129,8224,0,0,0,0,needs_fix,,,0,0,true,true,0.89,1.17,page,31,"metric masks: booking, map; unmapped source asset ids (not missing proof): tild6433-3235-4138-a430-663237386235 | tild3439-6362-4561-a465-303634663163"
/prazdnik-maxi/,28/28,28/28,,музыкальной колонкой | холодильником и микроволновой печью | кулером с горячей и холодной водой | необходимой мебелью столы стулья диванчики | отзывы о наших праздниках | фотографии с наших локаций | +5,,71.965,54.69,9808,9808,12216,12216,0,0,0,0,needs_fix,,,0,0,false,false,0,0,page,31,"metric masks: map, reviews; unmapped source asset ids (not missing proof): tild6339-6464-4330-b139-376434663530"
/prazdniki-pod-kluch/,26/26,18/18,extra:пр т соколова 23,комфортабельная зона ожидания | яркая посуда и праздничная сервировка | таинственное приключение | пугающая атмосфера квеста | мистические загадки | вызов своей дедукции в квесте шерлок холмс | +7,,56.305,37.485,14771,14712,22175,22099,0,0,0,0,needs_fix,,,0,0,true,true,0.4,0.34,page,31,"metric masks: map, reviews; unmapped source asset ids (not missing proof): tild3737-6133-4062-a432-356661643237 | tild3266-6665-4733-b834-656431363737"
/privacy/,7/7,4/4,,,,73.72999999999999,75.32,9219,9289,14397,14364,0,0,0,0,needs_fix,,,0,0,true,true,0.76,0.23,page,31,metric masks: map
/pryatki_kids/,26/26,12/12,,,,65.845,61.265,6729,6263,8767,8009,0,0,0,0,needs_fix,,,0,0,true,true,6.93,8.65,page,31,"metric masks: booking, map; unmapped source asset ids (not missing proof): tild6433-3235-4138-a430-663237386235 | tild3439-6362-4561-a465-303634663163"
/pryatki_portal/,25/25,12/12,,,,68.02,61.885000000000005,6682,6087,8619,7973,0,0,0,0,needs_fix,,,0,0,true,true,8.9,7.5,page,31,"metric masks: booking, map; unmapped source asset ids (not missing proof): tild6433-3235-4138-a430-663237386235 | tild3439-6362-4561-a465-303634663163"
/pryatki_v_temnote/,26/26,12/12,,,,71.50999999999999,61.19,6785,6552,8795,8175,0,0,0,0,needs_fix,,,0,0,true,true,3.43,7.05,page,31,"metric masks: booking, map; unmapped source asset ids (not missing proof): tild6433-3235-4138-a430-663237386235 | tild3439-6362-4561-a465-303634663163"
/puteshestvie/,23/23,12/12,,,,63.9,62.375,6245,5935,6945,6714,0,0,0,0,needs_fix,,,0,0,true,true,4.96,3.33,page,31,"metric masks: booking, map; unmapped source asset ids (not missing proof): tild6433-3235-4138-a430-663237386235 | tild3439-6362-4561-a465-303634663163 | tild3466-6130-4564-a365-643635333331"
/roblox-dors/,26/26,12/12,,,,71.84,64.58500000000001,6721,6133,8693,8070,0,0,0,0,needs_fix,,,0,0,true,true,8.75,7.17,page,31,"metric masks: booking, map; unmapped source asset ids (not missing proof): tild6433-3235-4138-a430-663237386235 | tild3439-6362-4561-a465-303634663163"
/roblox-land/,17/17,17/17,rec884323138 | extra:организация мероприятий,,,65.52,54.54,8169,8169,13711,13711,0,0,0,0,needs_fix,,,0,0,false,false,0,0,page,31,"metric masks: map, reviews"
/roblox/,25/26,12/12,,,,66.72,61.739999999999995,6741,6217,8717,8169,0,0,0,0,needs_fix,,,0,0,true,true,7.77,6.29,page,31,"metric masks: booking, map; unmapped source asset ids (not missing proof): tild6433-3235-4138-a430-663237386235 | tild3439-6362-4561-a465-303634663163"
/shizofreniya/,17/17,10/10,extra:как у нас проходит квест,,,66.06,57.72,4675,4608,5925,5940,0,0,0,0,needs_fix,,,0,0,true,true,1.43,0.25,page,31,"metric masks: booking, map"
/socialicheskaya186/,18/19,7/7,,,,75.39,66.44,4018,3497,5291,5161,0,0,0,0,needs_fix,,,0,0,true,true,12.97,2.46,page,31,"metric masks: map, reviews; unmapped source asset ids (not missing proof): tild6433-3235-4138-a430-663237386235 | tild3439-6362-4561-a465-303634663163"
/sokolova23/,19/19,7/7,,,,75.26,66.85,4002,3497,6068,5804,0,0,0,0,needs_fix,,,0,0,true,true,12.62,4.35,page,31,"metric masks: map, reviews; unmapped source asset ids (not missing proof): tild6433-3235-4138-a430-663237386235 | tild3439-6362-4561-a465-303634663163"
/strashnye-kvesty/,14/14,15/15,extra:top,,,68.85,66.29,5416,5416,8892,8892,0,0,0,0,needs_fix,,,0,0,true,true,0,0,page,31,"metric masks: map, reviews; unmapped source asset ids (not missing proof): tild3033-3464-4766-b566-613339323632 | tild6665-6436-4635-b931-393733303262 | tild3863-3161-4138-a632-323030663536 | +7"
/tekhasskaya-reznya-benzopiloj/,27/27,12/12,,,,71.46,61.88,6836,7521,8956,8623,0,0,0,0,needs_fix,,,0,0,true,true,10.02,3.72,page,31,"metric masks: booking, map; unmapped source asset ids (not missing proof): tild6433-3235-4138-a430-663237386235 | tild3439-6362-4561-a465-303634663163"
/ugon/,24/24,12/12,,,,65.92500000000001,63.325,6615,5812,6994,6452,0,0,0,0,needs_fix,,,0,0,true,true,12.14,7.75,page,31,"metric masks: booking, map; unmapped source asset ids (not missing proof): tild6433-3235-4138-a430-663237386235 | tild3439-6362-4561-a465-303634663163 | tild3466-6130-4564-a365-643635333331"
/vypusknoj-kalmar/,23/23,24/24,extra:организация мероприятий,вам доступен бонус | узнать стоимость | больше развлечений,,59.87,48.22,8410,8410,10362,10362,0,0,0,0,needs_fix,,,0,0,true,true,0,0,page,31,"metric masks: map, reviews; unmapped source asset ids (not missing proof): tild6437-6165-4462-a163-383065653238"
/wednesday_ukradennaya_vesch/,26/26,12/12,,,,64.46,61.56,6711,6104,8730,8000,0,0,0,0,redirect_ok,,,0,0,true,true,9.04,8.36,redirect,31,"visual target /wednesday-poteryannaya-dusha/; metric masks: booking, map; unmapped source asset ids (not missing proof): tild6433-3235-4138-a430-663237386235 | tild3439-6362-4561-a465-303634663163"
/wednesday-poteryannaya-dusha/,26/26,12/12,,,,64.46,61.66,6711,6104,8730,8000,0,0,0,0,needs_fix,,,0,0,true,true,9.04,8.36,page,31,"metric masks: booking, map; unmapped source asset ids (not missing proof): tild6433-3235-4138-a430-663237386235 | tild3439-6362-4561-a465-303634663163"
/zvonok/,26/27,12/12,,,,73.03999999999999,65.24,6595,6866,8229,8915,0,0,0,0,needs_fix,,,0,0,true,true,4.11,8.34,page,31,"metric masks: booking, map; unmapped source asset ids (not missing proof): tild6433-3235-4138-a430-663237386235 | tild3439-6362-4561-a465-303634663163"
